match_id;date;team1;team2;map1;map2;map3;type;map1_score1;map1_score2;map2_score1;map2_score2;map3_score1;map3_score2;winner
8864274;2012-09-22;x6tence;34united;mirage;;;bo1;16.0;9.0;;;;;1.0
8864275;2012-09-22;nip;bemyfrag;mirage;;;bo1;16.0;1.0;;;;;1.0
8864276;2012-09-22;nip;x6tence;nuke;;;bo1;16.0;7.0;;;;;1.0
8864277;2012-09-22;bemyfrag;34united;nuke_se;;;bo1;7.0;16.0;;;;;0.0
8865022;2012-09-22;verygames;ases;nuke;;;bo1;15.0;15.0;;;;;0.0
8865729;2012-09-23;nip;k1ck;inferno;nuke;;bo2;16.0;9.0;16.0;4.0;;;1.0
8865734;2012-09-22;verygames;x6tence;nuke;inferno;;bo2;16.0;4.0;16.0;2.0;;;1.0
8866013;2012-09-23;nip;verygames;nuke_se;train_se;;bo2;16.0;10.0;16.0;12.0;;;1.0
8870832;2012-10-03;nip;aftershock-crushed;dust2_se;nuke_se;;bo2;16.0;0.0;16.0;8.0;;;1.0
8870834;2012-10-03;publiclirse;immune;dust2_se;nuke_se;mirage_ce;bo3;16.0;7.0;10.0;16.0;16.0;10.0;1.0
8870835;2012-10-02;give-it-all;absolute-legends;dust2_se;nuke_se;;bo2;16.0;8.0;16.0;3.0;;;1.0
8870884;2012-10-04;mtw;gamedde;nuke_se;;;bo1;12.0;16.0;;;;;0.0
8870885;2012-10-02;nfaculty;cplay;nuke_se;;;bo1;16.0;4.0;;;;;1.0
8870886;2012-10-02;dotpixels;sfto;nuke_se;;;bo1;16.0;12.0;;;;;1.0
8870893;2012-10-02;alternate-attax;tt-dragons;nuke_se;;;bo1;16.0;7.0;;;;;1.0
8870894;2012-10-02;mousesports;logix;nuke_se;;;bo1;16.0;11.0;;;;;1.0
8870896;2012-10-02;iplay;red-dead;nuke_se;;;bo1;11.0;16.0;;;;;0.0
8870981;2012-10-02;roccat;hastalavista;inferno_se;train_se;;bo2;13.0;16.0;9.0;16.0;;;0.0
8870997;2012-10-02;3dmax;gosu;dust2_se;nuke_se;mirage_ce;bo3;12.0;16.0;16.0;6.0;12.0;16.0;1.0
8871306;2012-10-03;verygames;unexpected;inferno_se;;;bo1;16.0;1.0;;;;;1.0
8871352;2012-10-03;highrollers;paranoia;dust2_se;nuke_se;;bo2;19.0;15.0;16.0;8.0;;;1.0
8871363;2012-10-03;mousesports;logix;dust2_se;nuke_se;;bo2;16.0;0.0;16.0;10.0;;;1.0
8871365;2012-10-03;nod;ac4e;nuke;;;bo1;1.0;0.0;;;;;1.0
8871372;2012-10-03;roccat;lions;dust2_se;nuke_se;mirage_ce;bo3;22.0;20.0;16.0;19.0;12.0;16.0;0.0
8871374;2012-10-03;caramba;winfakt;dust2_se;nuke_se;;bo2;2.0;16.0;6.0;16.0;;;0.0
8871375;2012-10-03;hastalavista;afterlife-gaming;dust2_se;nuke_se;;bo2;16.0;14.0;16.0;4.0;;;1.0
8871422;2012-10-03;verygames;dislike;dust2_se;mirage_ce;;bo2;16.0;6.0;16.0;11.0;;;1.0
8871523;2012-10-03;nip;highrollers;inferno_se;nuke_se;;bo2;16.0;2.0;16.0;6.0;;;1.0
8871555;2012-10-03;verygames;extensive;mirage_ce;dust2_se;;bo2;16.0;4.0;16.0;5.0;;;1.0
8871604;2012-10-04;hastalavista;winfakt;inferno_se;nuke_se;;bo2;16.0;8.0;16.0;14.0;;;1.0
8871614;2012-10-04;publiclirse;give-it-all;inferno_se;nuke_se;;bo2;16.0;10.0;16.0;4.0;;;1.0
8871628;2012-10-07;lions;gosu;inferno_se;nuke_se;;bo2;6.0;16.0;8.0;16.0;;;0.0
