date;match_id;team1;team2;map1;map1_score;map2;map2_score;map3;map3_score
22nd of september 2012;8864274;x6tence;34united;mirage;16:9;;;;
22nd of september 2012;8864275;nip;bemyfrag;mirage;16:1;;;;
22nd of september 2012;8864276;nip;x6tence;nuke;16:7;;;;
22nd of september 2012;8864277;bemyfrag;34united;nuke_se;7:16;;;;
22nd of september 2012;8865022;verygames;ases;nuke;15:15;;;;
23rd of september 2012;8865729;nip;k1ck;inferno;16:9;nuke;16:4;;
22nd of september 2012;8865734;verygames;x6tence;nuke;16:4;inferno;16:2;;
23rd of september 2012;8866013;nip;verygames;nuke_se;16:10;train_se;16:12;;
3rd of october 2012;8870832;nip;aftershock-crushed;dust2_se;16:0;nuke_se;16:8;;
3rd of october 2012;8870834;publiclirse;immune;dust2_se;16:7;nuke_se;10:16;mirage_ce;16:10
2nd of october 2012;8870835;give-it-all;absolute-legends;dust2_se;16:8;nuke_se;16:3;;
4th of october 2012;8870884;mtw;gamedde;nuke_se;12:16;;;;
2nd of october 2012;8870885;nfaculty;cplay;nuke_se;16:4;;;;
2nd of october 2012;8870886;dotpixels;sfto;nuke_se;16:12;;;;
2nd of october 2012;8870893;alternate-attax;tt-dragons;nuke_se;16:7;;;;
2nd of october 2012;8870894;mousesports;logix;nuke_se;16:11;;;;
2nd of october 2012;8870896;iplay;red-dead;nuke_se;11:16;;;;
2nd of october 2012;8870981;roccat;hastalavista;inferno_se;13:16;train_se;9:16;;
2nd of october 2012;8870997;3dmax;gosu;dust2_se;12:16;nuke_se;16:6;mirage_ce;12:16
2nd of october 2012;8871136;k1ck;fmsapphire;Best of 3;2:0;;;;
3rd of october 2012;8871306;verygames;unexpected;inferno_se;16:1;;;;
3rd of october 2012;8871352;highrollers;paranoia;dust2_se;19:15;nuke_se;16:8;;
3rd of october 2012;8871363;mousesports;logix;dust2_se;16:0;nuke_se;16:10;;
3rd of october 2012;8871365;nod;ac4e;nuke;1:0;;;;
3rd of october 2012;8871372;roccat;lions;dust2_se;22:20;nuke_se;16:19;mirage_ce;12:16
3rd of october 2012;8871374;caramba;winfakt;dust2_se;2:16;nuke_se;6:16;;
3rd of october 2012;8871375;hastalavista;afterlife-gaming;dust2_se;16:14;nuke_se;16:4;;
3rd of october 2012;8871422;verygames;dislike;dust2_se;16:6;mirage_ce;16:11;;
3rd of october 2012;8871523;nip;highrollers;inferno_se;16:2;nuke_se;16:6;;
3rd of october 2012;8871555;verygames;extensive;mirage_ce;16:4;dust2_se;16:5;;
4th of october 2012;8871604;hastalavista;winfakt;inferno_se;16:8;nuke_se;16:14;;
4th of october 2012;8871614;publiclirse;give-it-all;inferno_se;16:10;nuke_se;16:4;;
7th of october 2012;8871628;lions;gosu;inferno_se;6:16;nuke_se;8:16;;
4th of october 2012;8871629;mtw;sfto;dust2_se;16:11;;;;
4th of october 2012;8871630;iplay;cplay;dust2_se;16:8;;;;
4th of october 2012;8871631;nfaculty;red-dead;dust2_se;14:16;;;;
4th of october 2012;8871633;tt-dragons;logix;dust2_se;6:16;;;;
4th of october 2012;8871919;fm-esports;enigma;inferno_se;16:9;nuke_se;16:2;;
9th of october 2012;8872036;nip;publiclirse;dust2_se;16:12;mirage_ce;16:1;;
7th of october 2012;8872050;mousesports;786;inferno_se;16:3;nuke_se;19:16;;
7th of october 2012;8872076;4kings;aliquo;inferno_se;16:3;nuke_se;9:16;train_se;11:16
7th of october 2012;8873440;maxfloplay;give-it-all;nuke_se;16:7;;;;
7th of october 2012;8873444;alsen;inet-koxxx;nuke_se;16:11;;;;
9th of october 2012;8873726;hastalavista;gosu;dust2_se;16:14;mirage_ce;16:4;;
7th of october 2012;8873791;vye;teamcrg;inferno_se;7:16;nuke_se;2:16;;
9th of october 2012;8873896;mousesports;teamcrg;dust2_se;16:10;mirage_ce;13:16;nuke_se;16:12
9th of october 2012;8873906;fm-esports;aliquo;dust2_se;16:14;mirage_ce;16:13;;
8th of october 2012;8874140;zuom;gamedde;inferno_se;9:16;nuke_se;3:16;;
8th of october 2012;8874141;alternate-attax;mousesports;inferno_se;3:16;nuke_se;9:16;;
8th of october 2012;8874148;mtw;nod;inferno_se;16:4;nuke_se;16:5;;
